user_id,art_id,explicit_rating,watched_to_the_end,liked
1,41354,6.0,true,true
1,1395,6.0,true,true
1,86062,5.0,true,true
1,32920,6.0,true,true
1,8807,6.0,true,true
1,89643,2.0,true,true
1,21474,3.0,true,true
1,16365,5.0,true,true
1,90095,5.0,true,true
1,80311,4.0,true,true
1,92178,3.0,true,true
2,34515,3.0,true,true
2,84855,8.0,true,true
2,2560,1.0,true,true
2,44049,9.0,true,true
2,19415,5.0,true,true
2,18231,8.0,true,true
2,63909,4.0,true,true
2,52092,8.0,true,true
2,90115,0.0,true,true
2,5897,5.0,true,true
2,8549,4.0,true,true
2,49142,1.0,true,true
2,92842,9.0,true,true
2,46117,1.0,true,true
2,45631,2.0,true,true
2,11750,7.0,true,true
2,71481,8.0,true,true
2,11683,7.0,true,true
2,5819,4.0,true,true
3,36783,9.0,true,true
3,68077,1.0,true,true
3,61438,2.0,true,true
3,75699,7.0,true,true
3,71732,3.0,true,true
3,76214,9.0,true,true
3,62529,9.0,true,true
3,60927,2.0,true,true
3,16334,3.0,true,true
3,4190,7.0,true,true
3,36489,8.0,true,true
3,24129,6.0,true,true
4,57194,5.0,true,true
4,874,3.0,true,true
4,66200,9.0,true,true
4,45503,10.0,true,true
4,53562,1.0,true,true
4,46004,2.0,true,true
4,88916,0.0,true,true
4,12644,7.0,true,true
4,39092,1.0,true,true
4,77544,1.0,true,true
4,16024,8.0,true,true
4,46567,5.0,true,true
4,65157,3.0,true,true
4,8981,5.0,true,true
4,15430,10.0,true,true
5,33123,2.0,true,true
5,93811,5.0,true,true
5,66803,6.0,true,true
5,2349,5.0,true,true
5,56810,7.0,true,true
5,24637,5.0,true,true
5,3009,9.0,true,true
5,57344,4.0,true,true
5,67178,6.0,true,true
5,28234,5.0,true,true
5,9318,6.0,true,true
5,79897,7.0,true,true
5,23457,9.0,true,true
5,10975,8.0,true,true
5,16384,9.0,true,true
5,10655,7.0,true,true
5,64249,3.0,true,true
6,85985,2.0,true,true
6,79478,6.0,true,true
